# y+ ()         
# Time          	patch           	min             	max             	average         
50              	wall1	3.10835702e+00	3.77559650e+00	3.54134265e+00
50              	sphere1	4.72384594e-01	1.46988739e+00	1.26167985e+00
100             	wall1	3.05371008e+00	3.73689146e+00	3.50399565e+00
100             	sphere1	3.46046378e-01	1.29337957e+00	1.08198486e+00
150             	wall1	3.00089929e+00	3.71371444e+00	3.46775235e+00
150             	sphere1	2.62516165e-01	1.19598767e+00	9.75358857e-01
200             	wall1	2.94984200e+00	3.70123501e+00	3.43253687e+00
200             	sphere1	1.97778680e-01	1.14659954e+00	9.05911401e-01
250             	wall1	2.88263110e+00	3.69527058e+00	3.39829088e+00
250             	sphere1	1.41029814e-01	1.11828058e+00	8.56564199e-01
300             	wall1	2.81453446e+00	3.69310188e+00	3.36496795e+00
300             	sphere1	9.49203771e-02	1.10196476e+00	8.18768217e-01
350             	wall1	2.74893220e+00	3.69301756e+00	3.33252836e+00
350             	sphere1	9.71434084e-02	1.09236838e+00	7.88199414e-01
400             	wall1	2.68572875e+00	3.69398366e+00	3.30093381e+00
400             	sphere1	5.19443871e-02	1.08530276e+00	7.64212794e-01
450             	wall1	2.62484315e+00	3.69538180e+00	3.27015776e+00
450             	sphere1	1.30546514e-01	1.07972393e+00	7.51735881e-01
500             	wall1	2.56618568e+00	3.69685950e+00	3.24017181e+00
500             	sphere1	5.94782466e-02	1.07518402e+00	7.39097452e-01
550             	wall1	2.50939127e+00	3.69823684e+00	3.21095343e+00
550             	sphere1	9.30852681e-02	1.07139236e+00	7.32472790e-01
600             	wall1	2.45337325e+00	3.69943761e+00	3.18247813e+00
600             	sphere1	1.52567381e-01	1.06814182e+00	7.27466578e-01
650             	wall1	2.39947187e+00	3.70043975e+00	3.15472316e+00
650             	sphere1	1.28150237e-01	1.06534945e+00	7.22330766e-01
700             	wall1	2.34760125e+00	3.70124681e+00	3.12766734e+00
700             	sphere1	1.10849647e-01	1.06296746e+00	7.17736004e-01
750             	wall1	2.29767863e+00	3.70187912e+00	3.10129020e+00
750             	sphere1	1.00291470e-01	1.06093679e+00	7.14113367e-01
800             	wall1	2.24962482e+00	3.70236300e+00	3.07557186e+00
800             	sphere1	1.04403112e-01	1.05919930e+00	7.11357825e-01
850             	wall1	2.20338957e+00	3.70272566e+00	3.05049377e+00
850             	sphere1	1.16295692e-01	1.05768798e+00	7.09055597e-01
900             	wall1	2.15891985e+00	3.70299175e+00	3.02603779e+00
900             	sphere1	1.06646137e-01	1.05639772e+00	7.06959013e-01
950             	wall1	2.11613517e+00	3.70318313e+00	3.00218609e+00
950             	sphere1	1.07074354e-01	1.05528032e+00	7.05091039e-01
1000            	wall1	2.07495826e+00	3.70331804e+00	2.97892201e+00
1000            	sphere1	1.13407735e-01	1.05430802e+00	7.03379703e-01
