# y+ ()         
# Time          	patch           	min             	max             	average         
2000            	sphere1	3.48744459e-01	1.70924383e+00	1.07978869e+00
2050            	wall1	2.12330382e+00	5.30833396e+00	3.75207974e+00
2050            	sphere1	3.50096618e-01	1.70889854e+00	1.07903235e+00
2100            	wall1	2.09702908e+00	5.30833245e+00	3.73456108e+00
2100            	sphere1	3.51372651e-01	1.70857638e+00	1.07831313e+00
2150            	wall1	2.07160614e+00	5.30833102e+00	3.71746053e+00
2150            	sphere1	3.52584546e-01	1.70827522e+00	1.07762673e+00
2200            	wall1	2.04699754e+00	5.30832968e+00	3.70076604e+00
2200            	sphere1	3.53720560e-01	1.70799265e+00	1.07697232e+00
2250            	wall1	2.02316591e+00	5.30832840e+00	3.68446614e+00
2250            	sphere1	3.54787612e-01	1.70772630e+00	1.07634896e+00
2300            	wall1	2.00007772e+00	5.30832720e+00	3.66854968e+00
2300            	sphere1	3.55796536e-01	1.70747311e+00	1.07575444e+00
2350            	wall1	1.97766515e+00	5.30832606e+00	3.65300591e+00
2350            	sphere1	3.56747497e-01	1.70723038e+00	1.07518646e+00
2400            	wall1	1.95584778e+00	5.30832498e+00	3.63782444e+00
2400            	sphere1	3.57644558e-01	1.70699562e+00	1.07464384e+00
2450            	wall1	1.93471557e+00	5.30832395e+00	3.62299502e+00
2450            	sphere1	3.58486975e-01	1.70676664e+00	1.07412546e+00
2500            	wall1	1.91423851e+00	5.30832297e+00	3.60850772e+00
2500            	sphere1	3.59280073e-01	1.70654126e+00	1.07362902e+00
2550            	wall1	1.89438408e+00	5.30832204e+00	3.59435306e+00
2550            	sphere1	3.60018510e-01	1.70631810e+00	1.07315168e+00
2600            	wall1	1.87512972e+00	5.30832116e+00	3.58052187e+00
2600            	sphere1	3.60706965e-01	1.70609552e+00	1.07269174e+00
2650            	wall1	1.85644790e+00	5.30832031e+00	3.56700522e+00
2650            	sphere1	3.61348912e-01	1.70587202e+00	1.07224734e+00
2700            	wall1	1.83831883e+00	5.30831950e+00	3.55379458e+00
2700            	sphere1	3.61952178e-01	1.70564612e+00	1.07181717e+00
2750            	wall1	1.82071697e+00	5.30831873e+00	3.54088157e+00
2750            	sphere1	3.62512135e-01	1.70541702e+00	1.07139974e+00
2800            	wall1	1.80362004e+00	5.30831800e+00	3.52825821e+00
2800            	sphere1	3.63033789e-01	1.70518410e+00	1.07099505e+00
2850            	wall1	1.78700695e+00	5.30831729e+00	3.51591664e+00
2850            	sphere1	3.63524191e-01	1.70494677e+00	1.07060223e+00
2900            	wall1	1.77085808e+00	5.30831662e+00	3.50384929e+00
2900            	sphere1	3.63986460e-01	1.70470487e+00	1.07022015e+00
2950            	wall1	1.75507173e+00	5.30831597e+00	3.49204884e+00
2950            	sphere1	3.64419817e-01	1.70445705e+00	1.06984772e+00
3000            	wall1	1.73964497e+00	5.30831536e+00	3.48050817e+00
3000            	sphere1	3.64821113e-01	1.70420328e+00	1.06948434e+00
3050            	wall1	1.72461011e+00	5.30831476e+00	3.46922048e+00
3050            	sphere1	3.65193540e-01	1.70394612e+00	1.06912961e+00
3100            	wall1	1.70995156e+00	5.30831420e+00	3.45817914e+00
3100            	sphere1	3.65540647e-01	1.70368640e+00	1.06878316e+00
3150            	wall1	1.69565450e+00	5.30831365e+00	3.44737763e+00
3150            	sphere1	3.65869208e-01	1.70342499e+00	1.06844492e+00
3200            	wall1	1.68170514e+00	5.30831313e+00	3.43680969e+00
3200            	sphere1	3.66176821e-01	1.70316291e+00	1.06811444e+00
3250            	wall1	1.66809068e+00	5.30831263e+00	3.42646931e+00
3250            	sphere1	3.66462745e-01	1.70290144e+00	1.06779154e+00
3300            	wall1	1.65479873e+00	5.30831215e+00	3.41635069e+00
3300            	sphere1	3.66729019e-01	1.70264192e+00	1.06747623e+00
3350            	wall1	1.64181777e+00	5.30831169e+00	3.40644817e+00
3350            	sphere1	3.66980440e-01	1.70238576e+00	1.06716857e+00
3400            	wall1	1.62913723e+00	5.30831124e+00	3.39675631e+00
3400            	sphere1	3.67218055e-01	1.70213447e+00	1.06686923e+00
3450            	wall1	1.61510767e+00	5.30831082e+00	3.38726971e+00
3450            	sphere1	3.67441452e-01	1.70188968e+00	1.06657849e+00
3500            	wall1	1.60083522e+00	5.30831040e+00	3.37798310e+00
3500            	sphere1	3.67649564e-01	1.70165286e+00	1.06629620e+00
3550            	wall1	1.58685118e+00	5.30831001e+00	3.36889131e+00
3550            	sphere1	3.67847539e-01	1.70142530e+00	1.06602291e+00
3600            	wall1	1.57314737e+00	5.30830963e+00	3.35998946e+00
3600            	sphere1	3.68037693e-01	1.70120807e+00	1.06575902e+00
