# y+ ()         
# Time          	patch           	min             	max             	average         
1500            	wall1	1.79195779e-01	3.35584989e-01	2.75907548e-01
1500            	sphere1	2.40540442e-02	7.38462764e-02	6.32175511e-02
3000            	wall1	1.21897449e-01	3.32211923e-01	2.32558874e-01
3000            	sphere1	2.13689406e-02	6.65354887e-02	5.69333855e-02
4500            	wall1	9.75031401e-02	3.31716273e-01	2.08399077e-01
4500            	sphere1	2.01359697e-02	6.32810322e-02	5.40761068e-02
